task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
74	1a/78c5b2	2b5ae4fe-1fbc-4480-8752-f72669ac4e4c	generateRDF (73)	COMPLETED	0	2024-11-02 19:46:19.210	5m 30s	3m 35s	28.0%	54.1 MB	61 MB	7.2 GB	17.3 KB
86	10/82ddf5	b11f3c11-a07f-455b-8738-7fc5cf3922f6	generateRDF (85)	COMPLETED	0	2024-11-02 19:46:19.336	5m 30s	3m 40s	35.6%	53.8 MB	61 MB	8 GB	17.3 KB
89	ef/f282d8	539bf4aa-4098-4e44-87d1-0dcf7d9bc15b	generateRDF (88)	COMPLETED	0	2024-11-02 19:46:19.442	5m 30s	3m 35s	36.9%	53.7 MB	61 MB	8 GB	17.3 KB
100	a9/37dfb7	8723e459-e7f4-4f72-b5e3-cacce8e45730	generateRDF (99)	COMPLETED	0	2024-11-02 19:46:19.756	5m 30s	3m 34s	31.0%	54 MB	61 MB	8 GB	17.3 KB
121	bb/7f8824	59fbecd2-387f-43c1-a4c3-bc504be84167	generateRDF (120)	COMPLETED	0	2024-11-02 19:46:19.989	5m 30s	3m 35s	30.9%	53.8 MB	61 MB	8 GB	17.3 KB
113	63/eb1302	0bb25ae3-dd3b-44d0-8ddb-d8839b6c1e69	generateRDF (112)	COMPLETED	0	2024-11-02 19:46:20.070	5m 30s	3m 29s	30.8%	54 MB	61 MB	8 GB	17.3 KB
143	f9/7e8d27	257b0247-7fb3-483a-9c21-7ce41ceffd37	generateRDF (142)	COMPLETED	0	2024-11-02 19:46:20.561	5m 29s	3m 34s	35.9%	54 MB	61 MB	8 GB	17.3 KB
146	eb/72d01b	8c7a0409-e1f9-4c55-9955-22a22af4f27f	generateRDF (145)	COMPLETED	0	2024-11-02 19:46:20.613	5m 30s	3m 36s	32.5%	53.8 MB	61 MB	8 GB	17.3 KB
151	71/ccf959	4df64514-11f2-4e3e-b374-2a609160e707	generateRDF (150)	COMPLETED	0	2024-11-02 19:46:20.652	5m 30s	3m 34s	35.3%	53.9 MB	61 MB	8 GB	17.3 KB
200	95/e4dc2c	0acc0069-5343-4a14-b09e-ae0264d1e750	generateRDF (199)	COMPLETED	0	2024-11-02 19:46:21.632	5m 29s	3m 37s	34.2%	53.9 MB	61 MB	8 GB	17.3 KB
208	24/9cd1d6	dbbb2040-eda6-422f-892f-78456eb5cc49	generateRDF (207)	COMPLETED	0	2024-11-02 19:46:21.907	5m 29s	3m 33s	39.8%	53.9 MB	61 MB	8 GB	17.3 KB
